Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,Interaction_Grade_Failed_Courses,Interaction_Mother_Father_Qual,Age_Squared,Academic_Performance_1st_Sem,Combined_Parents_Qual
0.0,0.0,2.5,-1.8248407643312101,0.0,0.0,-0.7399999999999997,0.0,0.0,-0.20588235294117646,0.0,0.4,0.07100591715976345,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-1.6666666666666667,-2.035714285714286,0.0,0.0,-2.0,-2.0,-1.25,-2.061290322580645,0.0,-0.06666666666666643,0.0,0.4068767908309455,Dropout,0.0,-0.09851851851851852,0.0,-2.0594626865671635,-0.14814814814814814
0.0,-0.05263157894736842,0.0,0.03397027600849257,0.0,0.0,1.7933333333333337,0.0,-0.5142857142857142,-0.47058823529411764,-0.4,-0.8,0.9704142011834319,0.0,0.0,0.0,0.0,1.0,0.0,-0.16666666666666666,0.0,0.0,0.0,-0.5,0.3333333333333333,0.7142857142857139,0.0,0.0,0.0,-0.5,0.25,0.5677419354838709,0.0,0.6222222222222223,-0.7391304347826085,0.1346704871060172,Graduate,0.0,-0.2651851851851852,-0.14772727272727273,0.4680597014925376,-0.6481481481481481
0.0,-0.42105263157894735,2.5,-0.35668789808917195,0.0,0.0,-0.7399999999999997,0.0,0.5142857142857142,0.5294117647058824,0.8,0.4,-0.07692307692307673,0.0,0.0,0.0,0.0,1.0,0.0,-0.16666666666666666,0.0,0.0,0.0,-2.0,-1.6666666666666667,-2.035714285714286,0.0,0.0,0.0,-2.0,-1.25,-2.061290322580645,0.0,-0.06666666666666643,0.0,0.4068767908309455,Dropout,0.0,0.7466666666666667,-0.14772727272727273,-2.0594626865671635,0.6481481481481481
0.0,0.0,1.0,1.1358811040339702,0.0,0.0,-0.7399999999999997,0.0,0.5428571428571428,0.5294117647058824,0.0,-0.8,-0.38461538461538447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4761904761904759,0.0,0.0,0.0,0.5,0.0,0.07741935483871007,0.0,-0.3777777777777776,-0.9565217391304347,-0.98567335243553,Graduate,0.0,0.774074074074074,0.0,0.3534328358208963,0.6666666666666666
0.0,0.5789473684210527,0.0,-1.8248407643312101,0.0,0.0,-2.0399999999999996,0.0,0.5142857142857142,0.5588235294117647,0.8,0.4,0.9112426035502958,-1.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.25,0.0,0.019841269841269767,0.0,0.0,0.0,-0.5,0.25,0.3096774193548389,0.0,0.6222222222222223,-0.7391304347826085,0.1346704871060172,Graduate,0.0,0.774074074074074,2.8636363636363638,-0.06686567164179007,0.6666666666666666
0.0,0.5789473684210527,0.0,1.5987261146496816,0.0,0.0,0.0,0.0,0.5142857142857142,0.5294117647058824,0.8,0.0,-0.6686390532544375,-1.0,0.0,0.0,0.0,1.0,0.0,2.3333333333333335,0.0,0.0,-0.5,0.5,0.0,-0.17857142857142866,0.0,0.0,-0.5,2.0,0.0,-0.2709677419354835,0.0,1.1333333333333333,-0.4782608695652173,-0.3553008595988538,Graduate,0.0,0.7466666666666667,2.8636363636363638,-0.16238805970149192,0.6481481481481481
0.0,-0.42105263157894735,0.0,0.5562632696390658,0.0,0.0,0.5933333333333337,0.0,0.0,0.5588235294117647,0.4,0.6,0.13609467455621366,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.5,0.25,0.6666666666666666,0.42261904761904756,0.0,0.0,1.0,0.0,0.75,0.8303225806451616,0.0,0.9777777777777779,0.608695652173913,-1.2550143266475644,Graduate,0.0,0.2674074074074074,-0.2878787878787879,0.5282388059701497,0.3333333333333333
0.0,0.02631578947368421,2.5,0.03397027600849257,0.0,0.0,-0.9399999999999996,0.0,0.5142857142857142,0.5294117647058824,0.8,0.4,-0.7692307692307689,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,-0.5,-0.75,-1.6666666666666667,-2.035714285714286,0.0,0.0,-0.5,-0.75,-1.25,-2.061290322580645,0.0,0.9777777777777779,0.608695652173913,-1.2550143266475644,Dropout,0.0,0.7466666666666667,0.3181818181818182,-2.0594626865671635,0.6481481481481481
0.0,-0.42105263157894735,2.0,0.0,0.0,0.0,0.2600000000000004,0.0,-0.5142857142857142,-0.5294117647058824,0.8,0.4,0.18934911242603644,-1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.6622023809523805,0.0,0.0,0.0,-0.25,0.25,0.7520737327188939,0.0,1.1333333333333333,-0.4782608695652173,-0.3553008595988538,Graduate,0.0,-0.26666666666666666,0.1553030303030303,0.442985074626866,-0.6851851851851852
0.0,-0.42105263157894735,0.0,0.0,0.0,0.0,0.32666666666666705,0.0,-0.5142857142857142,0.0,-0.2,0.0,-0.1834319526627215,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,0.25,0.0,-0.3690476190476192,0.0,0.0,0.0,1.5,-0.75,0.5032258064516131,0.0,-0.4888888888888887,0.0,0.9140401146131805,Dropout,0.0,-0.25333333333333335,-0.2878787878787879,-0.2540895522388057,-0.35185185185185186
